id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
0,Push-Up Hold,mobility,dip belt,lower,stretch,"glutes, quads, hamstrings","Push-Up Hold: Setup — Use dip belt. Focus on stretch movement for lower. Engage glutes, quads, hamstrings. Control breathing."
1,Explosive Lateral Raise Pulse,cardio,barbells,full body,hold,"back, chest, legs","Explosive Lateral Raise Pulse: Setup — Use barbells. Focus on hold movement for full body. Engage back, chest, legs. Control breathing."
2,Rotational Jumping Jack Iso,warm-up,barbells,upper,push,"biceps, forearms, chest","Rotational Jumping Jack Iso: Setup — Use barbells. Focus on push movement for upper. Engage biceps, forearms, chest. Control breathing."
3,Wide-Grip Running,strength,kettlebells,upper,pull,"deltoids, triceps, forearms","Wide-Grip Running: Setup — Use kettlebells. Focus on pull movement for upper. Engage deltoids, triceps, forearms. Control breathing."
4,Decline Dips,cardio,barbells,core,stretch,"abs, lower back, obliques","Decline Dips: Setup — Use barbells. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
5,Seated Plank,cardio,dumbbells,core,hold,"lower back, obliques, abs","Seated Plank: Setup — Use dumbbells. Focus on hold movement for core. Engage lower back, obliques, abs. Control breathing."
6,Calf Raise Variation,cardio,bodyweight,upper,stretch,"triceps, biceps, deltoids","Calf Raise Variation: Setup — Use bodyweight. Focus on stretch movement for upper. Engage triceps, biceps, deltoids. Control breathing."
7,Incline Cycling,strength,bodyweight,upper,push,"lats, biceps, forearms","Incline Cycling: Setup — Use bodyweight. Focus on push movement for upper. Engage lats, biceps, forearms. Control breathing."
8,Half-Kneeling Burpee Raise,warm-up,barbells,core,stretch,"abs, lower back, obliques","Half-Kneeling Burpee Raise: Setup — Use barbells. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
9,Pull-Up Pulse,strength,resistance band,lower,push,"calves, glutes, quads","Pull-Up Pulse: Setup — Use resistance band. Focus on push movement for lower. Engage calves, glutes, quads. Control breathing."
10,Side Plank Rotation,cardio,cable machine,full body,hold,"chest, core, back","Side Plank Rotation: Setup — Use cable machine. Focus on hold movement for full body. Engage chest, core, back. Control breathing."
11,Bicep Curl,warm-up,jump rope,core,hold,"lower back, abs, obliques","Bicep Curl: Setup — Use jump rope. Focus on hold movement for core. Engage lower back, abs, obliques. Control breathing."
12,Close-Grip Overhead Press,strength,jump rope,full body,hold,"back, core, legs","Close-Grip Overhead Press: Setup — Use jump rope. Focus on hold movement for full body. Engage back, core, legs. Control breathing."
13,Rotational Lunge Twist,mobility,pull-up bar,full body,hold,"back, core, chest","Rotational Lunge Twist: Setup — Use pull-up bar. Focus on hold movement for full body. Engage back, core, chest. Control breathing."
14,B-Stance Rowing,warm-up,dumbbells,core,pull,"abs, lower back, obliques","B-Stance Rowing: Setup — Use dumbbells. Focus on pull movement for core. Engage abs, lower back, obliques. Control breathing."
15,Push-Up,strength,jump rope,lower,pull,"calves, quads, glutes","Push-Up: Setup — Use jump rope. Focus on pull movement for lower. Engage calves, quads, glutes. Control breathing."
16,Tricep Extension Twist,warm-up,smith machine,core,pull,"abs, obliques, lower back","Tricep Extension Twist: Setup — Use smith machine. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
17,Deficit Leg Press,strength,smith machine,upper,pull,"forearms, deltoids, traps","Deficit Leg Press: Setup — Use smith machine. Focus on pull movement for upper. Engage forearms, deltoids, traps. Control breathing."
18,Static Cycling March,cardio,assisted machine,core,pull,"obliques, abs, lower back","Static Cycling March: Setup — Use assisted machine. Focus on pull movement for core. Engage obliques, abs, lower back. Control breathing."
19,Chin-Up,warm-up,cable machine,core,hold,"lower back, obliques, abs","Chin-Up: Setup — Use cable machine. Focus on hold movement for core. Engage lower back, obliques, abs. Control breathing."
20,Single-Leg Bicep Curl March,cardio,dip belt,lower,pull,"glutes, calves, hamstrings","Single-Leg Bicep Curl March: Setup — Use dip belt. Focus on pull movement for lower. Engage glutes, calves, hamstrings. Control breathing."
21,Squat,strength,assisted machine,core,stretch,"abs, lower back, obliques","Squat: Setup — Use assisted machine. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
22,Step-Up Series,warm-up,rower,core,stretch,"abs, lower back, obliques","Step-Up Series: Setup — Use rower. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
23,Single-Arm Chest Fly,mobility,rower,lower,push,"glutes, quads, calves","Single-Arm Chest Fly: Setup — Use rower. Focus on push movement for lower. Engage glutes, quads, calves. Control breathing."
24,Dips,cardio,cable machine,upper,pull,"triceps, chest, traps","Dips: Setup — Use cable machine. Focus on pull movement for upper. Engage triceps, chest, traps. Control breathing."
25,Mountain Climber Hold,mobility,dumbbells,full body,hold,"back, legs, core","Mountain Climber Hold: Setup — Use dumbbells. Focus on hold movement for full body. Engage back, legs, core. Control breathing."
26,Jumping Jack Hold,cardio,assisted machine,full body,pull,"core, legs, back","Jumping Jack Hold: Setup — Use assisted machine. Focus on pull movement for full body. Engage core, legs, back. Control breathing."
27,Rotational Face Pull,warm-up,rower,lower,push,"calves, quads, hamstrings","Rotational Face Pull: Setup — Use rower. Focus on push movement for lower. Engage calves, quads, hamstrings. Control breathing."
28,Single-Arm Farmer Carry,cardio,rings,upper,hold,"triceps, deltoids, biceps","Single-Arm Farmer Carry: Setup — Use rings. Focus on hold movement for upper. Engage triceps, deltoids, biceps. Control breathing."
29,Isometric Jumping Jack,strength,jump rope,core,hold,"lower back, abs, obliques","Isometric Jumping Jack: Setup — Use jump rope. Focus on hold movement for core. Engage lower back, abs, obliques. Control breathing."
30,Chin-Up Raise,mobility,pull-up bar,core,stretch,"lower back, obliques, abs","Chin-Up Raise: Setup — Use pull-up bar. Focus on stretch movement for core. Engage lower back, obliques, abs. Control breathing."
31,Plank Rotation,mobility,assisted machine,lower,hold,"quads, hamstrings, calves","Plank Rotation: Setup — Use assisted machine. Focus on hold movement for lower. Engage quads, hamstrings, calves. Control breathing."
32,Running,strength,rower,lower,pull,"quads, calves, hamstrings","Running: Setup — Use rower. Focus on pull movement for lower. Engage quads, calves, hamstrings. Control breathing."
33,Half-Kneeling Overhead Press,cardio,resistance band,core,pull,"lower back, obliques, abs","Half-Kneeling Overhead Press: Setup — Use resistance band. Focus on pull movement for core. Engage lower back, obliques, abs. Control breathing."
34,Decline Burpee Hold,mobility,resistance band,core,pull,"obliques, lower back, abs","Decline Burpee Hold: Setup — Use resistance band. Focus on pull movement for core. Engage obliques, lower back, abs. Control breathing."
35,Face Pull Twist,cardio,cable machine,upper,push,"biceps, triceps, deltoids","Face Pull Twist: Setup — Use cable machine. Focus on push movement for upper. Engage biceps, triceps, deltoids. Control breathing."
36,Incline Jumping Jack,strength,treadmill,full body,pull,"core, back, legs","Incline Jumping Jack: Setup — Use treadmill. Focus on pull movement for full body. Engage core, back, legs. Control breathing."
37,Mountain Climber,cardio,smith machine,lower,push,"calves, glutes, hamstrings","Mountain Climber: Setup — Use smith machine. Focus on push movement for lower. Engage calves, glutes, hamstrings. Control breathing."
38,Paused Plank,strength,kettlebells,lower,stretch,"calves, quads, glutes","Paused Plank: Setup — Use kettlebells. Focus on stretch movement for lower. Engage calves, quads, glutes. Control breathing."
39,Chin-Up Iso,strength,assisted machine,full body,stretch,"core, legs, chest","Chin-Up Iso: Setup — Use assisted machine. Focus on stretch movement for full body. Engage core, legs, chest. Control breathing."
40,Lunge Raise,mobility,bodyweight,upper,stretch,"triceps, lats, deltoids","Lunge Raise: Setup — Use bodyweight. Focus on stretch movement for upper. Engage triceps, lats, deltoids. Control breathing."
41,Tall-Kneeling Mountain Climber Variation,mobility,bike,core,push,"lower back, obliques, abs","Tall-Kneeling Mountain Climber Variation: Setup — Use bike. Focus on push movement for core. Engage lower back, obliques, abs. Control breathing."
42,Single-Arm Jump Rope,cardio,rower,lower,hold,"hamstrings, calves, glutes","Single-Arm Jump Rope: Setup — Use rower. Focus on hold movement for lower. Engage hamstrings, calves, glutes. Control breathing."
43,Jumping Jack Rotation,cardio,jump rope,lower,pull,"quads, hamstrings, calves","Jumping Jack Rotation: Setup — Use jump rope. Focus on pull movement for lower. Engage quads, hamstrings, calves. Control breathing."
44,Burpee Twist,strength,dumbbells,core,hold,"obliques, lower back, abs","Burpee Twist: Setup — Use dumbbells. Focus on hold movement for core. Engage obliques, lower back, abs. Control breathing."
45,Decline Deadlift,warm-up,treadmill,upper,pull,"triceps, lats, traps","Decline Deadlift: Setup — Use treadmill. Focus on pull movement for upper. Engage triceps, lats, traps. Control breathing."
46,Front Raise,strength,jump rope,lower,pull,"quads, calves, glutes","Front Raise: Setup — Use jump rope. Focus on pull movement for lower. Engage quads, calves, glutes. Control breathing."
47,Feet-Elevated Face Pull,mobility,treadmill,full body,push,"back, core, legs","Feet-Elevated Face Pull: Setup — Use treadmill. Focus on push movement for full body. Engage back, core, legs. Control breathing."
48,Rowing,strength,smith machine,upper,pull,"traps, triceps, deltoids","Rowing: Setup — Use smith machine. Focus on pull movement for upper. Engage traps, triceps, deltoids. Control breathing."
49,Isometric Chest Fly Pulse,strength,bike,full body,stretch,"back, core, chest","Isometric Chest Fly Pulse: Setup — Use bike. Focus on stretch movement for full body. Engage back, core, chest. Control breathing."
50,Jump Rope,mobility,treadmill,core,pull,"lower back, abs, obliques","Jump Rope: Setup — Use treadmill. Focus on pull movement for core. Engage lower back, abs, obliques. Control breathing."
51,Feet-Elevated Hip Thrust,mobility,barbells,upper,pull,"triceps, deltoids, chest","Feet-Elevated Hip Thrust: Setup — Use barbells. Focus on pull movement for upper. Engage triceps, deltoids, chest. Control breathing."
52,Explosive Bench Press Hold,mobility,smith machine,lower,push,"hamstrings, glutes, calves","Explosive Bench Press Hold: Setup — Use smith machine. Focus on push movement for lower. Engage hamstrings, glutes, calves. Control breathing."
